Lon,Lat
25.328457,37.452247
25.328457,37.452247
25.328457,37.452247
25.328427,37.452248
25.32852,37.452222
25.328527,37.45219
25.328538,37.452208
25.328537,37.452223
25.328488,37.452275
25.328327,37.452347
25.32829,37.45235
25.328288,37.452363
25.328297,37.452373
25.328312,37.452387
25.328512,37.452303
25.328585,37.45227
25.328622,37.452258
25.328645,37.452238
25.328703,37.452135
25.328738,37.452042
25.328748,37.451947
25.328745,37.451885
25.328723,37.451843
25.328685,37.451808
25.32865,37.451755
25.328648,37.451697
25.328698,37.451712
25.32879,37.451712
25.32882,37.451712
25.328852,37.451718
25.328873,37.451723
25.328908,37.451718
25.328947,37.452377
25.328788,37.452968
25.328702,37.453562
25.328692,37.453727
25.328707,37.45379
25.328767,37.453878
25.328857,37.45397
25.328888,37.454027
25.328845,37.454253
25.32862,37.455075
25.328607,37.455275
25.328677,37.455525
25.328752,37.455658
25.328828,37.455797
25.32887,37.45588
25.328805,37.456165
25.328558,37.45659
25.328472,37.456742
25.328443,37.456912
25.328467,37.457147
25.328522,37.457318
25.328888,37.45777
25.328988,37.457927
25.329143,37.458265
25.329195,37.458333
25.328865,37.459145
25.328558,37.45968
25.328523,37.459753
25.328513,37.459832
25.328527,37.459898
25.328573,37.459948
25.32889,37.46008
25.329065,37.460115
25.32912,37.460148
25.329133,37.460095
25.32917,37.459977
25.329225,37.45978
25.329317,37.459183
25.329392,37.45887
25.329498,37.458642
25.329655,37.458473
25.329932,37.45825
25.33014,37.45815
25.330848,37.457512
25.331035,37.4573
25.331168,37.45696
25.331173,37.45676
25.331582,37.45628
25.331795,37.456123
25.331887,37.456032
25.332177,37.455053
25.332423,37.45414
25.332542,37.453567
25.332565,37.453265
25.332598,37.453122
25.332617,37.45305
25.33267,37.452995
25.33276,37.452988
25.332758,37.453012
25.332778,37.453047
25.332765,37.453098
25.332753,37.453067
25.332783,37.453013
25.332882,37.452962
25.333047,37.452947
25.333128,37.452938
25.333778,37.4532
25.333802,37.453212
25.333822,37.453245
25.333798,37.453225
25.33396,37.453292
25.334058,37.453335
25.33471,37.453818
25.334817,37.453902
25.334985,37.453953
25.335118,37.453978
25.335257,37.454003
25.335425,37.45423
25.335697,37.454735
25.336088,37.455645
25.336103,37.455775
25.336173,37.455987
25.336182,37.456
25.33628,37.45601
25.336407,37.456003
25.336472,37.455995
25.336837,37.455818
25.336947,37.455777
25.33696,37.455777
25.336978,37.455775
25.337,37.455765
25.337195,37.455778
25.337305,37.455857
25.337423,37.455955
25.337492,37.455995
25.337987,37.456107
25.338155,37.456168
25.33839,37.456352
25.338532,37.456457
25.338688,37.456518
25.33883,37.456568
25.338887,37.456605
25.33893,37.456647
25.339183,37.457143
25.339447,37.457362
25.339598,37.457935
25.339582,37.458095
25.339563,37.458167
25.339615,37.458287
25.339643,37.458342
25.339665,37.458402
25.33965,37.458542
25.339477,37.459488
25.339472,37.45962
25.339487,37.459673
25.339522,37.459717
25.339598,37.459817
25.339638,37.459928
25.339643,37.459978
25.339618,37.460082
25.339558,37.460187
25.339487,37.460292
25.339428,37.46055
25.339417,37.460622
25.339403,37.460638
25.339427,37.460677
25.339448,37.460678
25.339455,37.460643
25.339428,37.460675
25.339403,37.460657
25.33942,37.460682
25.339497,37.46079
25.339537,37.46096
25.339283,37.461495
25.339063,37.461922
25.339037,37.462003
25.339043,37.462127
25.339125,37.462285
25.339163,37.46235
25.339355,37.462785
25.33955,37.463173
25.339645,37.46331
25.33971,37.463392
25.339723,37.463405
25.339733,37.463423
25.339742,37.46344
25.3398,37.463463
25.339943,37.463505
25.340153,37.463537
25.340243,37.463532
25.340315,37.46353
25.340412,37.463553
25.340442,37.463568
25.340473,37.463575
25.340503,37.463578
25.340535,37.463578
25.34066,37.463578
25.340683,37.463587
25.340703,37.463598
25.340725,37.463612
25.340793,37.46372
25.340815,37.463878
25.34081,37.463913
25.340803,37.463988
25.340738,37.464203
25.340713,37.464257
25.34065,37.464342
25.340617,37.464477
25.340612,37.464585
25.34062,37.464613
25.340622,37.464633
25.340667,37.464705
25.340733,37.464748
25.340778,37.464755
25.340843,37.464757
25.340883,37.464765
25.340998,37.464783
25.341393,37.464798
25.341443,37.46481
25.341482,37.464813
25.341555,37.464775
25.341582,37.464762
25.341708,37.464745
25.341772,37.464745
25.341995,37.464795
25.342068,37.464803
25.342098,37.464812
25.34214,37.4648
25.342195,37.464797
25.342322,37.464802
25.342385,37.46481
25.342422,37.464822
25.342452,37.464833
25.342478,37.464797
25.342533,37.464753
25.34257,37.464732
25.342633,37.464738
25.34269,37.464747
25.342737,37.464742
25.342765,37.46473
25.342828,37.464688
25.342865,37.464648
25.34288,37.464628
25.342892,37.464612
25.342903,37.464595
25.34292,37.46458
25.342945,37.464562
25.343003,37.464557
25.34314,37.464558
25.34317,37.464558
25.343175,37.464557
25.343183,37.464532
25.343202,37.464518
25.343237,37.46451
25.343268,37.464502
25.3434,37.464467
25.343498,37.464435
25.343783,37.464362
25.344052,37.46432
25.344158,37.464307
25.344193,37.464295
25.344357,37.464143
25.34466,37.463993
25.344753,37.463973
25.344855,37.463967
25.345012,37.464003
25.34512,37.464037
25.345175,37.464055
25.345608,37.464038
25.345742,37.46404
25.345803,37.464033
25.345897,37.464033
25.34601,37.46392
25.346255,37.46379
25.34632,37.463775
25.34639,37.463772
25.346455,37.463775
25.34657,37.46381
25.347178,37.463893
25.347265,37.463917
25.347338,37.463967
25.347372,37.463987
25.347453,37.463993
25.34758,37.464015
25.34763,37.464025
25.347672,37.464035
25.34771,37.464078
25.347665,37.464132
25.347588,37.464315
25.347575,37.464372
25.34746,37.464472
25.347412,37.464507
25.347355,37.464755
25.347243,37.465087
25.346988,37.465397
25.346947,37.465445
25.346898,37.465558
25.346838,37.465737
25.346618,37.466072
25.346407,37.466375
25.346367,37.466462
25.346328,37.466832
25.346317,37.466885
25.346317,37.466958
25.346308,37.467005
25.346317,37.46706
25.346295,37.467092
25.346307,37.46707
25.34631,37.467047
25.34633,37.467032
25.346348,37.46702
25.346382,37.467063
25.346397,37.46707
25.34646,37.467103
25.346465,37.467143
25.346447,37.467147
25.346442,37.467147
25.346508,37.467105
25.346448,37.467103
25.346438,37.467123
25.346503,37.467073
25.346505,37.467083
25.346482,37.467058
25.34646,37.467027
25.346463,37.467017
25.34647,37.467035
25.346468,37.46705
25.346417,37.467055
25.346423,37.46703
25.346445,37.467015
25.346408,37.467018
25.346368,37.467067
25.34637,37.467067
25.346368,37.467067
25.346362,37.46705
25.346367,37.46704
25.346412,37.467038
25.34642,37.467007
25.346427,37.467038
25.34637,37.467087
25.346363,37.467092
25.346325,37.467055
25.346255,37.467052
25.346412,37.467105
25.34647,37.4671
25.346447,37.467058
25.346322,37.467072
25.346305,37.467065
25.346382,37.467037
25.346468,37.467037
25.346448,37.467022
25.346442,37.46704
25.346427,37.467048
25.346413,37.467057
25.34645,37.467042
25.34641,37.467203
25.346353,37.467302
25.346303,37.467335
25.345617,37.467413
25.345093,37.467473
25.34486,37.46747
25.344808,37.467473
25.344767,37.4675
25.344735,37.467538
25.344703,37.467893
25.344698,37.467945
25.34471,37.467992
25.344888,37.468137
25.345017,37.46826
25.3451,37.468363
25.345152,37.468418
25.345168,37.468487
25.345162,37.468535
25.345278,37.469003
25.345397,37.469382
25.34542,37.469467
25.345443,37.469518
25.345473,37.4696
25.345412,37.469787
25.345372,37.46981
25.345407,37.469857
25.345427,37.46989
25.345448,37.469958
25.345447,37.47035
25.345407,37.470548
