Lon,Lat
23.980482,40.325788
23.98048,40.325938
23.980505,40.326078
23.98056,40.326302
23.980738,40.32707
23.980692,40.327285
23.98038,40.328185
23.980043,40.329093
23.97987,40.329423
23.979707,40.329583
23.979147,40.329882
23.97898,40.329978
23.978677,40.330512
23.978575,40.330645
23.978425,40.330725
23.978333,40.33075
23.978238,40.33076
23.977713,40.330705
23.977507,40.330688
23.977312,40.3307
23.977222,40.330715
23.977145,40.330743
23.977038,40.330833
23.976968,40.330953
23.977023,40.33173
23.977018,40.331792
23.977002,40.33185
23.976973,40.331908
23.976937,40.33196
23.976825,40.332045
23.976293,40.332227
23.97606,40.332292
23.976023,40.33231
23.976003,40.332333
23.976003,40.332377
23.976015,40.332392
23.976008,40.33249
23.976008,40.33249
23.976008,40.33249
23.975992,40.33246
23.975993,40.332442
23.975998,40.332423
23.975998,40.332402
23.975983,40.332382
23.975953,40.332367
23.975903,40.33237
23.975797,40.3324
23.97552,40.332497
23.974988,40.332683
23.973908,40.333138
23.973148,40.333742
23.972957,40.333932
23.972885,40.33404
23.972775,40.334615
23.972678,40.335613
23.97273,40.336182
23.972728,40.336278
23.972705,40.336363
23.972657,40.336435
23.972553,40.336505
23.972458,40.336565
23.971853,40.336702
23.97173,40.336732
23.97162,40.336792
23.97153,40.336878
23.971203,40.337675
23.971002,40.338577
23.970605,40.339545
23.97026,40.34042
23.9699,40.341308
23.969808,40.341475
23.96965,40.341633
23.968697,40.342272
23.967885,40.342945
23.96709,40.343668
23.96616,40.344355
23.965373,40.345033
23.964572,40.345717
23.964415,40.345875
23.964193,40.346445
23.96412,40.346612
23.964013,40.346745
23.963317,40.347213
23.962892,40.347492
23.962778,40.34758
23.962775,40.347583
23.962765,40.34762
23.962697,40.347732
23.962075,40.348577
23.961902,40.348717
23.961705,40.348818
23.961108,40.349008
23.959957,40.349277
23.958808,40.34958
23.958573,40.349675
23.95848,40.349738
23.958085,40.350237
23.958007,40.350323
23.957935,40.350387
23.957853,40.350428
23.957202,40.35029
23.957078,40.350272
23.956927,40.350292
23.956667,40.350398
23.956012,40.35117
23.955638,40.351645
23.955377,40.35184
23.954235,40.35225
23.953042,40.352597
23.952798,40.352692
23.952602,40.352835
23.952403,40.353087
23.952247,40.353303
23.952167,40.353397
23.952165,40.3534
23.952157,40.353403
23.952132,40.35345
23.951818,40.353948
23.951585,40.354698
23.951553,40.354782
23.9515,40.354853
23.951433,40.354902
23.951272,40.354948
23.951187,40.354947
23.951037,40.354905
23.950663,40.354675
23.950053,40.354282
23.949775,40.354135
23.949568,40.354072
23.949332,40.354063
23.948595,40.354193
23.947507,40.354455
23.946702,40.354837
23.945937,40.355137
23.945517,40.355295
23.945335,40.355363
23.945233,40.355473
23.945138,40.355575
23.945042,40.355645
23.944628,40.355915
23.943943,40.356242
23.94303,40.356707
23.94258,40.356942
23.94156,40.357182
23.941238,40.35725
23.94081,40.357428
23.940362,40.357868
23.940157,40.358047
23.939888,40.358185
23.939437,40.358317
23.938815,40.358372
23.937498,40.358432
23.937193,40.358473
23.936898,40.358583
23.935823,40.359192
23.934832,40.359768
23.933723,40.360375
23.93254,40.360793
23.9313,40.3612
23.930097,40.361598
23.92971,40.361733
23.92958,40.361785
23.929518,40.361825
23.92951,40.361855
23.929525,40.361863
23.929635,40.361963
23.929688,40.362008
23.929807,40.362218
23.929947,40.363158
23.929997,40.363703
23.930033,40.363993
23.93006,40.364337
23.930095,40.365205
23.930068,40.365342
23.930037,40.365608
23.930028,40.366168
23.930025,40.366122
23.929987,40.366405
23.929987,40.366405
