Lon,Lat
20.98556,37.70985
20.985625,37.709842
20.98565,37.709842
20.985683,37.709752
20.985683,37.709752
20.985683,37.709752
20.985698,37.709713
20.985725,37.709515
20.985758,37.709368
20.985825,37.709287
20.985795,37.709372
20.985737,37.70946
20.985693,37.70955
20.985673,37.709758
20.98567,37.709782
20.985617,37.709822
20.985595,37.709827
20.985568,37.709825
20.985538,37.70982
20.985508,37.709797
20.985508,37.709782
20.985513,37.709768
20.985582,37.709707
20.985602,37.709697
20.985622,37.709672
20.985633,37.709582
20.985643,37.709557
20.985652,37.70954
20.985667,37.709535
20.985687,37.709535
20.985728,37.709565
20.98574,37.709577
20.98596,37.70961
20.985958,37.709662
20.985902,37.709778
20.985867,37.709865
20.985833,37.709933
20.98574,37.710032
20.985637,37.710123
20.984758,37.710712
20.984515,37.710998
20.984417,37.711147
20.98436,37.71121
20.984202,37.711275
20.983707,37.711227
20.983603,37.711223
20.98341,37.711257
20.983222,37.711378
20.982492,37.712135
20.981783,37.71284
20.981588,37.713002
20.981265,37.713212
20.981182,37.713292
20.981055,37.713468
20.9809,37.714047
20.98084,37.714245
20.980587,37.71454
20.980482,37.714655
20.98042,37.714772
20.980412,37.714905
20.980502,37.715372
20.980577,37.715672
20.980468,37.716235
20.980447,37.716372
20.980345,37.717242
20.980242,37.718183
20.980093,37.71893
20.979868,37.719328
20.979777,37.719513
20.979743,37.719725
20.979863,37.720303
20.980082,37.721227
20.980298,37.722173
20.980437,37.722695
20.98049,37.723357
20.980433,37.724263
20.980402,37.724595
20.980395,37.724683
20.980378,37.724757
20.980258,37.724858
20.979913,37.724898
20.979775,37.724875
20.979587,37.724913
20.979542,37.724968
20.979512,37.725037
20.979535,37.725183
20.979637,37.725392
20.979948,37.726058
20.98006,37.726325
20.980198,37.726815
20.98028,37.727148
20.98031,37.727287
20.98016,37.727987
20.980007,37.72839
20.979892,37.728552
20.979712,37.728698
20.979123,37.728975
20.978565,37.729152
20.977963,37.729218
20.977717,37.72922
20.977513,37.729265
20.977335,37.729347
20.976742,37.729867
20.976558,37.73008
20.976458,37.730187
20.976318,37.730248
20.97624,37.730253
20.97616,37.730242
20.976085,37.730215
20.97603,37.730167
20.975828,37.729883
20.97562,37.729652
20.975478,37.729525
20.975398,37.729482
20.974975,37.729407
20.97434,37.729332
20.974098,37.729333
20.973502,37.729507
20.972362,37.7299
20.971262,37.73034
20.970327,37.73087
20.969973,37.731022
20.969447,37.731072
20.969247,37.731105
20.969167,37.731145
20.968748,37.731672
20.968088,37.732513
20.967478,37.733285
20.966697,37.733858
20.966068,37.734372
20.965263,37.735157
20.96413,37.735785
20.963153,37.736258
20.962005,37.736798
20.961767,37.736852
20.961643,37.736853
20.961292,37.736767
20.960242,37.73641
20.960007,37.736297
20.959825,37.736152
20.959335,37.735317
20.959223,37.735152
20.95903,37.735092
20.958937,37.735108
20.958615,37.735295
20.958278,37.735422
20.958195,37.735443
20.95813,37.735485
20.958078,37.735543
20.958037,37.735685
20.958045,37.735757
20.95816,37.735997
20.958307,37.736143
20.958507,37.736242
20.958812,37.736367
20.958902,37.736417
20.958967,37.736468
20.959012,37.73653
20.959033,37.736608
20.958988,37.736812
20.95895,37.736862
20.958895,37.7369
20.958828,37.73692
20.958757,37.736923
20.957795,37.736662
20.957688,37.736643
20.957582,37.736637
20.957313,37.73673
20.957098,37.737357
20.956607,37.738153
20.956445,37.738373
20.956228,37.738537
20.956048,37.738603
20.955238,37.738668
20.955143,37.738662
20.955048,37.738643
20.954962,37.73861
20.954898,37.738565
20.954713,37.73832
20.954555,37.738055
20.954535,37.737808
20.9544,37.737422
20.95433,37.737272
20.954198,37.737122
20.953662,37.73685
20.95348,37.736743
20.953148,37.73637
20.953027,37.736235
20.952967,37.736193
20.952907,37.736177
20.95285,37.736185
20.952798,37.736355
20.953057,37.737223
20.953132,37.73767
20.953143,37.737767
20.953127,37.737847
20.95302,37.73797
20.952937,37.738022
20.952738,37.738092
20.952568,37.73809
20.9525,37.738052
20.952237,37.73764
20.95211,37.73748
20.951787,37.737267
20.951593,37.737192
20.951492,37.737173
20.951392,37.737178
20.951298,37.737205
20.951143,37.737297
20.951087,37.737353
20.951042,37.737423
20.951045,37.737553
20.951083,37.737608
20.951202,37.737702
20.951383,37.737845
20.951507,37.738007
20.951533,37.738062
20.951528,37.738108
20.951435,37.73817
20.951295,37.7382
20.950873,37.738252
20.950658,37.7383
20.950253,37.73856
20.949977,37.738697
20.948907,37.73896
20.948487,37.73898
20.9484,37.738983
20.948285,37.739055
20.948188,37.739182
20.94804,37.739782
20.948008,37.74001
20.948138,37.740363
20.948138,37.740363
20.948185,37.740515
20.948185,37.740515
20.948193,37.740662
20.948148,37.740818
20.947618,37.741337
20.947495,37.74147
20.947467,37.741545
20.947578,37.742137
20.947593,37.742307
20.947578,37.742383
20.94741,37.742655
20.947097,37.74313
20.946913,37.743643
20.946855,37.74382
20.946685,37.744235
20.946668,37.74432
20.946673,37.744395
20.946702,37.744463
20.946757,37.74451
20.946965,37.744577
20.947118,37.744613
20.947198,37.744638
20.947255,37.744678
20.947287,37.744738
20.947283,37.744805
20.946753,37.745193
20.946223,37.745373
20.946002,37.745437
20.945283,37.746097
20.945158,37.746198
20.94442,37.746523
20.944318,37.746553
20.944175,37.746667
20.944112,37.7468
20.944092,37.746952
20.944118,37.747108
20.944235,37.74734
20.944333,37.747497
20.944382,37.747668
20.944348,37.74786
20.944275,37.748032
20.944182,37.748153
20.94412,37.748207
20.943742,37.748315
20.943202,37.748447
20.942037,37.748327
20.941808,37.748312
20.941593,37.74833
20.941477,37.748345
